Unnamed: 0,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural,full_address,DPA_POST_TOWN,DPA_STATUS,DPA_MATCH_DESCRIPTION,DPA_THOROUGHFARE_NAME,DPA_Y_COORDINATE,DPA_UPRN,DPA_RPC,DPA_POSTCODE,DPA_ADDRESS,DPA_DEPENDENT_LOCALITY,DPA_X_COORDINATE,DPA_ORGANISATION_NAME,DPA_MATCH,DPA_BUILDING_NAME,DPA_lat,DPA_lng,LPI_STATUS,LPI_ADMINISTRATIVE_AREA,LPI_MATCH,LPI_SAO_START_NUMBER,LPI_USRN,LPI_Y_COORDINATE,LPI_UPRN,LPI_RPC,LPI_POSTCODE_LOCATOR,LPI_TOWN_NAME,LPI_LPI_KEY,LPI_X_COORDINATE,LPI_ADDRESS,LPI_STREET_DESCRIPTION,LPI_PAO_TEXT,LPI_MATCH_DESCRIPTION,LPI_lat,LPI_lng,DPA_BUILDING_NUMBER,LPI_PAO_START_NUMBER,LPI_LOCALITY_NAME,LPI_SAO_TEXT,LPI_ORGANISATION
244344,2 ORCHARD HOUSE,HAMILTON ROAD,HYTHE,SOUTHAMPTON,AMUSE BOUCHE CATERING,Other catering premises,7841,5,,644439,5,,50.848594,33804,138,hygiene.rating@nfdc.gov.uk,New Forest,http://www.newforest.gov.uk,-1.396461,SO45 3PB,17/03/2014,fhrs_4_en-GB,4,,FHRS,10,"AMUSE BOUCHE CATERING, 2 ORCHARD HOUSE, HAMILTON ROAD, HYTHE, SOUTHAMPTON, SO45 3PB",SOUTHAMPTON,APPROVED,GOOD,HAMILTON ROAD,105653.81,10091842037,1,SO45 3PB,"AMOUS BOOSH, ORCHARD HOUSE, HAMILTON ROAD, HYTHE, SOUTHAMPTON, SO45 3PB",HYTHE,442583.12,AMOUS BOOSH,0.8,ORCHARD HOUSE,-1.396487657,50.84884351,APPROVED,HAMPSHIRE,0.9,2,26720133,105665.3,10090351425,1,SO45 3PB,HYTHE,1740L000115161,442586.06,"2, ORCHARD HOUSE, HAMILTON ROAD, HYTHE, HAMPSHIRE, SO45 3PB",HAMILTON ROAD,ORCHARD HOUSE,GOOD,-1.396444565,50.84894661,,,,,
219709,"Central Bandstand, Central Parade, Herne Bay",,,,Maharaja,Restaurant/Cafe/Canteen,1,20,,617678,15,,,INS/13/02770,180,food@canterbury.gov.uk,Canterbury City,http://www.canterbury.gov.uk,,,23/01/2015,fhrs_1_en-GB,1,,FHRS,15,"Maharaja, Central Bandstand, Central Parade, Herne Bay",HERNE BAY,APPROVED,GOOD,CENTRAL PARADE,168381,200001838182,1,CT6 5JN,"CENTRAL BANDSTAND, CENTRAL PARADE, HERNE BAY, CT6 5JN",,617531,CENTRAL BANDSTAND,0.8,,1.124046352,51.37279677,APPROVED,KENT,0.8,,5600236,168381,2.00002E+11,1,CT6 5JN,HERNE BAY,2210L000041399,617531,"CENTRAL BANDSTAND, CENTRAL PARADE, HERNE BAY, KENT, CT6 5JN",CENTRAL PARADE,CENTRAL BANDSTAND,GOOD,1.124046352,51.37279677,,,,,
241047,Farm Shop Old Mill House Fruit Farm Cowfold Road Bolney Haywards Heath West Sussex,,,,Old Mill Farm Shop & Wobblegate Apple Juice,Retailers - other,4613,0,,35440,0,,50.995186,10/00242/FOOD,328,foodsafety@midsussex.gov.uk,Mid Sussex,http://www.midsussex.gov.uk/,-0.219438,RH17 5SE,10/10/2012,fhrs_5_en-GB,5,,FHRS,5,"Old Mill Farm Shop & Wobblegate Apple Juice, Farm Shop Old Mill House Fruit Farm Cowfold Road Bolney Haywards Heath West Sussex, RH17 5SE",HAYWARDS HEATH,APPROVED,GOOD,COWFOLD ROAD,123222,100062486175,1,RH17 5SE,"OLD MILL HOUSE FARM, COWFOLD ROAD, BOLNEY, HAYWARDS HEATH, RH17 5SE",BOLNEY,525127,,0.8,OLD MILL HOUSE FARM,-0.218357981,50.99480017,APPROVED,WEST SUSSEX,0.8,,25600089,123222,1.00062E+11,1,RH17 5SE,BOLNEY,3830L000071436,525127,"OLD MILL HOUSE FARM, COWFOLD ROAD, BOLNEY, WEST SUSSEX, RH17 5SE",COWFOLD ROAD,OLD MILL HOUSE FARM,GOOD,-0.218357981,50.99480017,,,,,
28639,Premier Travel Inn,Duke Street,Norwich,,Premier Inn - Thyme,Hotel/bed & breakfast/guest house,7842,0,,14850,5,,52.631759,05/00061/FD_HS,232,EHealth@norwich.gov.uk,Norwich City,http://www.norwich.gov.uk/foodhygieneratings,1.293229,NR3 3AT,29/04/2014,fhrs_5_en-GB,5,,FHRS,5,"Premier Inn - Thyme, Premier Travel Inn, Duke Street, Norwich, NR3 3AT",NORWICH,APPROVED,GOOD,DUKE STREET,308941.7,10009440322,2,NR3 3AP,"PREMIER INN, DUKE STREET, NORWICH, NR3 3AP",,622939,PREMIER INN,0.8,,1.293011593,52.63240868,APPROVED,NORFOLK,0.9,,28901204,308941.7,10009440322,2,NR3 3AP,NORWICH,2625L000071409,622939,"PREMIER TRAVEL INN, DUKE STREET, NORWICH, NORFOLK, NR3 3AP",DUKE STREET,PREMIER TRAVEL INN,GOOD,1.293011593,52.63240868,,,,,
217427,51 St Georges Road,Brighton,,,Kemp Spices,Restaurant/Cafe/Canteen,1,10,,208800,10,,50.817541,2003/00383/COMM,875,ehl.food@brighton-hove.gov.uk,Brighton and Hove,http://www.brighton-hove.gov.uk/foodsafety,-0.117953,BN2 1EF,31/07/2013,fhrs_3_en-GB,3,,FHRS,10,"Kemp Spices, 51 St Georges Road, Brighton, BN2 1EF",BRIGHTON,APPROVED,EXACT,ST. GEORGES ROAD,103705,22082170,1,BN2 1EF,"KEMP SPICES, 51, ST. GEORGES ROAD, BRIGHTON, BN2 1EF",,532695,KEMP SPICES,1,,-0.1176658,50.81769735,APPROVED,BRIGHTON & HOVE,1,,4401227,103705,22082170,1,BN2 1EF,BRIGHTON,1445L000037738,532695,"51, ST GEORGES ROAD, BRIGHTON, BRIGHTON & HOVE, BN2 1EF",ST GEORGES ROAD,,EXACT,-0.1176658,50.81769735,51,51,,,
807,The Street,Preston St Mary,SUDBURY,Suffolk,The Six Bells,Pub/bar/nightclub,7843,0,,526813,5,,52.117918,PI/000100846,297,food.safety@babergh.gov.uk,Babergh,http://www.babergh.gov.uk/,0.838059,CO10 9NG,25/09/2013,fhrs_5_en-GB,5,,FHRS,0,"The Six Bells, The Street, Preston St Mary, SUDBURY, Suffolk, CO10 9NG",SUDBURY,APPROVED,EXACT,THE STREET,250398.7,200004235457,2,CO10 9NG,"THE SIX BELLS, THE STREET, PRESTON ST. MARY, SUDBURY, CO10 9NG",PRESTON ST. MARY,594421.7,,1,THE SIX BELLS,0.838288727,52.11771103,APPROVED,SUFFOLK,1,,1510874,250398.7,2.00004E+11,2,CO10 9NG,PRESTON ST MARY,3505L000017403,594421.7,"THE SIX BELLS, THE STREET, PRESTON ST MARY, SUFFOLK, CO10 9NG",THE STREET,THE SIX BELLS,EXACT,0.838288727,52.11771103,,,,,
223263,Orchard End Avenue,Amersham,Buckinghamshire,,Stony Dean School,School/college/university,7845,10,,356072,0,,51.669753,09050/2013/2/000,22,envhealth@chiltern.gov.uk,Chiltern,http://www.chiltern.gov.uk,-0.587934,HP7 9JW,09/10/2014,fhrs_4_en-GB,4,,FHRS,5,"Stony Dean School, Orchard End Avenue, Amersham, Buckinghamshire, HP7 9JW",AMERSHAM,APPROVED,GOOD,ORCHARD END AVENUE,197736,100081186799,1,HP7 9JW,"STONEY DEAN SCHOOL, ORCHARD END AVENUE, AMERSHAM, HP7 9JW",,497743,STONEY DEAN SCHOOL,0.9,,-0.588003123,51.66990593,APPROVED,BUCKINGHAMSHIRE,1,,7300076,197736,1.00081E+11,1,HP7 9JW,AMERSHAM,0415L000031365,497743,"STONY DEAN SCHOOL, ORCHARD END AVENUE, AMERSHAM, BUCKINGHAMSHIRE, HP7 9JW",ORCHARD END AVENUE,STONY DEAN SCHOOL,EXACT,-0.588003123,51.66990593,,,,,
280747,,31 The Horsefair,City Centre,Bristol,Greggs,Retailers - other,4613,0,,439689,0,,51.458519,110158,855,food.safety@bristol.gov.uk,Bristol,http://www.bristol.gov.uk,-2.590514,BS1 3JL,16/10/2012,fhrs_5_en-GB,5,,FHRS,0,"Greggs, 31 The Horsefair, City Centre, Bristol, BS1 3JL",BRISTOL,APPROVED,GOOD,THE HORSEFAIR,173452,95533,1,BS1 3JL,"31, THE HORSEFAIR, BRISTOL, BS1 3JL",,359076,,0.9,,-2.590416271,51.45855592,APPROVED,BRISTOL,0.9,,4527336,173452,95533,1,BS1 3JL,BRISTOL,0116L000052094,359076,"31, THE HORSEFAIR, CITY CENTRE, BRISTOL, BS1 3JL",THE HORSEFAIR,,GOOD,-2.590416271,51.45855592,31,31,CITY CENTRE,,
48649,,2 Keepers Close,,Swithland,Keepers Lodge,Hotel/bed & breakfast/guest house,7842,5,,110030,5,,52.711175,39839,210,food.hygiene@charnwood.gov.uk,Charnwood,http://www.charnwood.gov.uk/,-1.180877,LE12 8QB,20/08/2014,fhrs_5_en-GB,5,,FHRS,5,"Keepers Lodge, 2 Keepers Close, Swithland, LE12 8QB",LOUGHBOROUGH,APPROVED,GOOD,KEEPERS CLOSE,312895,10004001656,1,LE12 8QB,"2, KEEPERS CLOSE, SWITHLAND, LOUGHBOROUGH, LE12 8QB",SWITHLAND,455440,,0.9,,-1.180823751,52.71088671,APPROVED,LEICESTERSHIRE,1,,6503725,312895,10004001656,1,LE12 8QB,SWITHLAND,2410L000077475,455440,"KEEPERS LODGE, 2, KEEPERS CLOSE, SWITHLAND, LEICESTERSHIRE, LE12 8QB",KEEPERS CLOSE,KEEPERS LODGE,EXACT,-1.180823751,52.71088671,2,2,,,
481629,,5 St Helens Road,Sandfields,Swansea,Luna Restaurant,Restaurant/Cafe/Canteen,1,10,,619657,10,,51.619005,152826,568,FoodandSafety@swansea.gov.uk,Swansea,http://www.swansea.gov.uk,-3.950527,SA1 4AN,03/12/2013,fhrs_3_en-GB,3,,FHRS,10,"Luna Restaurant, 5 St Helens Road, Sandfields, Swansea, SA1 4AN",SWANSEA,APPROVED,GOOD,ST. HELENS ROAD,192930,100100987442,1,SA1 4AN,"LUNA GRILL HOUSE, 5, ST. HELENS ROAD, SWANSEA, SA1 4AN",,265069,LUNA GRILL HOUSE,0.8,,-3.950397713,51.61897241,APPROVED,SWANSEA,0.8,,39102253,192930,10010063926,1,SA1 4AN,SWANSEA,6855L000346705,265069,"FLAT, 5, ST HELENS ROAD, SANDFIELDS, SWANSEA, SA1 4AN",ST HELENS ROAD,,GOOD,-3.950397713,51.61897241,5,5,SANDFIELDS,FLAT,
